frase;localizzazione_benchmark;localizzazione_risultato;tempo_benchmark;tempo_risultato;grave_benchmark;grave_risultato;moto_benchmark;moto_risultato;utenti_deboli_benchmark;utenti_deboli_risultato
un giovane di 26 anni è in gravi condizioni all'ospedale niguarda dopo essersi più volte ribaltato con la sua automobile a pogliano milanese, in via arluno, all'altezza di una rotonda;1;1;0;0;1;1;0;0;0;1
"uno schianto tragico, atroce, che ""suona"" come un beffardo scherzo del destino";0;0;0;0;1;0;0;0;0;0
sì, perché luca civita - il 38enne morto martedì in un incidente avvenuto sulla a4, tra l'uscita di fiera milano e lo svincolo con viale certosa - a modo suo cercava di combattere le tragedie sull'asfalto;1;1;0;0;1;1;0;1;0;0
gravissimo incidente stradale nel pomeriggio di martedì 31 gennaio in autostrada;1;1;1;0;1;0;0;0;0;0
un uomo di 38 anni, residente a sulmona (l'aquila), è morto sul colpo;0;1;0;0;1;0;0;0;0;0
lo schianto è avvenuto verso le sei meno venti lungo l'a4, in direzione venezia, nel tratto compreso tra l'uscita di pero-fiera milano e lo svincolo con l'a8-viale certosa;1;1;1;0;0;0;0;0;0;0
nella mattinata del 29 gennaio, si è verificato un incidente in valassina;1;1;1;0;0;0;0;0;0;0
due uomini di 45 e 47 anni sono rimasti feriti in un incidente stradale in via inganni a milano;1;1;0;0;1;1;0;0;0;1
lo schianto è avvenuto poco prima della mezzanotte tra venerdì e sabato;0;0;1;0;0;0;0;0;0;0
numerosi curiosi sono usciti in strada a seguito del frastuono: una delle auto coinvolte, una mercedes, si è ribaltata e ha travolto dei pali dei segnali stradali;0;1;0;0;0;0;0;0;0;1
il bilancio del grave incidente avvenuto venerdì mattina, attorno alle 9, in via giulio e corrado venini a milano, lascia un ferito e il traffico paralizzato in zona;1;1;1;1;1;1;0;0;0;1
incidente stradale nel pomeriggio di giovedì 26 gennaio a inzago, nella città metropolitana di milano;1;1;1;0;0;0;0;0;0;0
secondo quanto riferisce areu (agenzia regionale emergenza urgenza), sarebbero coinvolti sei giovanissimi, tra cui un ragazzo di 17 anni, due 18enni e una 19enne;0;0;0;0;0;0;0;0;0;1
il cuore gli si è fermato mentre era alla guida della propria auto;0;0;0;0;0;1;0;0;0;0
È finito fuori strada, facendo un incidente, e per fortuna senza coinvolgere altre persone;0;1;0;1;0;0;0;1;0;0
lo avrebbe investito con la sua auto mentre entrambi andavano a scuola;0;0;0;0;0;0;0;0;1;0
poi, con lui sull'asfalto ormai in fin di vita, sarebbe andata in aula dai suoi studenti, dove è stata fermata;0;0;0;0;0;0;0;1;0;0
una donna di 65 anni, professoressa all'istituto bordoni di pavia, è stata arrestata lunedì mattina con le accuse di omicidio stradale e omissione di soccorso perché accusata di aver travolto e ucciso il 49enne daniele marchi, maestro nella scuola dell'infanzia comunale;0;1;0;0;0;0;0;0;0;1
un automobilista di 35 anni si è ribaltato con la propria auto dopo aver preso in pieno semaforo e spartitraffico in via arbe;0;1;0;0;0;1;0;0;0;0
per lui non c'è stato nulla da fare;0;0;0;0;1;0;0;0;0;0
È morto enrico goldoni, il 49enne originario di soliera, nel modenese, che giovedì scorso era rimasto coinvolto in un drammatico incidente sull'autostrada a9;1;1;0;0;1;1;0;0;0;1
incredibile incidente verso le 10 di sabato mattina a castellanza, dove un camion della sieco, l'azienda che si occupa della nettezza urbana, è rimasto in bilico sul ponte di via binda che sovrasta l'olona;1;1;1;0;0;0;0;0;0;0
investita e rapinata;0;0;0;0;0;0;0;0;1;0
pomeriggio da incubo quello di giovedì per una donna di 28 anni, un giovane albanese, che è stata travolta da uno scooter e poi derubata - dal guidatore dello stesso scooter - nel giro di pochi attimi;0;1;1;1;0;1;1;1;0;1
un uomo di 55 anni lotta tra la vita e la morte dopo essere rimasto coinvolto in un incidente in via novara (periferia ovest di milano) nella mattinata di giovedì 19 gennaio;1;1;1;1;1;1;0;0;0;1
traffico in tilt sull'autostrada a8 varese-milano a causa di un incidente tra un'auto e un mezzo pesante avvenuto nel tratto tra legnano e il bivio con la a9, in direzione del capoluogo lombardo;1;1;0;0;0;1;0;1;0;0
lo schianto è avvenuto poco dopo la mezzanotte tra martedì e mercoledì;0;0;1;0;0;0;0;0;0;0
alba di sangue sull'autostrada a8, teatro mercoledì mattina di un incidente costato la vita a un uomo di 54 anni;1;1;1;0;1;1;0;1;0;0
il dramma si è consumato pochi minuti prima delle 5 a legnano, nel tratto in cui si trova il bivio tra l'a8 e l'a9;1;1;1;0;1;0;0;0;0;0
lo schianto è avvenuto mattina intorno alle 720 nel tratto monza centro e l'allacciamento con la tangenziale nord di milano;1;1;1;0;0;0;0;0;0;0
un uomo di 55 anni, tiziano taini, è morto dopo essere finito con la sua auto nel naviglio in secca ad abbiategrasso (hinterland ovest di milano) nella notte tra sabato e domenica 15 gennaio;1;1;1;0;1;1;0;0;0;1
era arrivato in ospedale in codice rosso con la gamba tranciata dal ginocchio in giù;0;0;0;0;0;1;0;0;0;1
portato immediatamente in sala operatoria i chirurghi dell'ospedale san gerardo non hanno potuto salvargliela;0;0;0;0;0;1;0;0;0;0
ha perso la gamba sinistra il giovane rider, un 29enne residente a monza, rimasto coinvolto nell'incidente avvenuto domenica sera ad usmate velate, in brianza;0;1;0;0;0;1;0;0;1;1
drammatico incidente lungo l'autostrada a4 all'alba di lunedì 16 gennaio;1;1;1;1;1;0;0;0;0;0
coinvolti quattro mezzi pesanti, morto un uomo di 49 anni;0;0;0;0;1;0;0;0;0;0
l'incidente è avvenuto poco prima delle 530 sull'autostrada a4 venezia-torino;1;1;1;0;0;0;0;0;0;0
È morto il motociclista di 55 anni che era rimasto gravemente ferito dopo essersi schiantato venerdì sera contro un suv;0;1;1;0;1;1;0;1;0;1
brutto incidente ieri sera, poco prima delle ore 20, in via dello scalo a bologna, dove - per dinamiche ancora in via di accertamento - un pedone è stato investito da un autobus ed è finito in ospedale in gravi condizioni;1;1;1;0;1;1;0;0;1;1
traffico bloccato sulla porrettana a causa di un incidente stradale avvenuto nella tarda mattinata odierna;1;1;1;1;0;0;0;1;0;0
da quanto si apprende, a causa della fuoriuscita autonoma di un pezzo pesante nei pressi del km 119,200, la strada statale 64 è temporaneamente chiusa – in entrambe le direzioni di marcia – in località altedo, nella città metropolitana di bologna;1;1;0;0;0;0;0;1;0;0
e' il verdetto del processo in rito abbreviato avvenuto stamane a carico dell'ex assessore alla cultura in comune, roberto grandi, che aveva investito il giovane matteo prodi, pronipote dell’ex premier romano, mentre era in sella alla sua bici;0;0;0;0;0;0;0;0;1;0
lo schianto fatale per il 18enne era avvenuto nel 27 febbraio del 2020 all’incrocio tra via di barbiano e via degli scalini, sui colli bolognesi;1;1;1;1;1;0;0;0;0;0
non ce l'ha fatta il pedone investito lo scorso 2 gennaio mentre attraversava la strada, sulle strisce pedonali, a vergato;1;1;1;0;1;0;0;0;1;1
e' ancora ricoverato nel reparto di rianimazione con una prognosi riservata il 45enne che domenica 4 dicembre, poco prima di mezzogiorno, è finito fuori strada e poi nei campi della frazione di riccardina di budrio;1;1;1;0;1;1;0;1;0;0
sabato 3 dicembre, un anziano ha perso la vita a imola e, anche in questo caso, non ci sarebbero altri veicoli coinvolti nel sinistro;1;1;1;0;1;0;0;0;0;0
la presidente emma petitti e tutta l’assemblea legislativa dell’emilia-romagna si stringono ai familiari di pironi, già sindaco di riccione e consigliere regionale dal 2005 al 2009, scomparso ieri in un tragico incidente stradale sull'a4, a san donà di piave;1;1;0;0;1;0;0;0;0;1
altro incidente mortale sulle nostre strade;0;0;0;0;1;0;0;0;0;0
la vittima è un centauro di 46 anni, coinvolto nello scontro con un'automobile ieri sera a porretta terme, sull'appennino bolognese;1;1;1;0;1;0;1;0;0;0
59 i morti (5 in più) e 4865 i ferite (1460 in più), dati in aumento ma con numeri vicini ai dati del 2019 e degli anni precedenti ad esclusione del 2020, anno di ridotta mobilità dovuta al lockdown: nel 2019 avevamo 3805 incidenti, 68 decessi, 5197 feriti;0;1;0;0;1;1;0;0;0;0
59 i morti (5 in più) e 4865 i ferite (1460 in più), dati in aumento ma con numeri vicini ai dati del 2019 e degli anni precedenti ad esclusione del 2020, anno di ridotta mobilità dovuta al lockdown: nel 2019 avevamo 3805 incidenti, 68 decessi, 5197 feriti;0;1;0;0;0;1;0;0;0;0
e' questo il nome del ciclista che ieri ha perso la vita sulle rive del torrente quaderna;1;0;0;0;1;0;0;0;1;0
80 anni, ma un fisico atletico e la passione per le due ruote, tarroni è stato travolto e ucciso da un'auto sulla sp29, a molinella;1;1;0;0;1;1;0;0;0;1
gravissimo incidente questa mattina a san lazzaro di savena, in direzione monterenzio;1;1;1;1;1;1;0;1;0;0
da quanto si apprende due auto si sarebbero scontrate violentemente, e una sarebbe finita nel fosso adiacente alla carreggiata;0;1;0;0;1;0;0;0;0;0
e' attualmente in prognosi riservata in rianimazione il 35enne di origini pakistane che ieri mattina è rimasto gravemente ferito dopo un incidente stradale occorso nelle campagne tra budrio e granarolo;1;1;1;0;1;1;0;0;0;1
lo schianto si è verificato intorno alle dieci del mattino: qui l'uomo, che rimane ricoverato al maggiore di bologna, era a bordo del suo scooter quando -per ragioni ancora al vaglio dei carabinieri di molinella, che si sono occupati dei rilievi- all'altezza di un incrocio è avvenuto lo scontro con una auto che si apprestava ad attraversare;0;1;1;1;1;0;1;1;0;0
nell'impatto, il 35enne è stato sbalzato in aria per poi ricadere a terra;0;1;0;0;0;0;0;0;0;0
la polizia locale, intervenuta anch'essa sul posto, ha provveduto poi a sequestrate il ciclomotore, poiché trovato sprovvisto di assicurazione e revisione;0;1;0;0;0;0;0;0;0;0
e' morta la 26 enne di san pietro in casale, a causa delle conseguenze del brutto incidente che l'ha vista coinvolta lo scorso mercoledì sulla statale 253bis (ex trasversale di pianura), vicino a bentivoglio;1;1;1;0;1;1;0;1;0;0
È caccia all'automobilista che ieri mattina ha urtato una ragazza sulle strisce pedonali, non fermandosi a prestare soccorso;0;0;0;0;0;0;0;0;1;0
traffico bloccato e soccorsi in forze nel primo pomeriggio lungo la a13, dove una ragazza di soli 22 anni è rimasta vittima di un incidente stradale che ha visto coinvolti un furgone e un camion, in marcia entrambi in direzione di ferrara e andati a impatto all'altezza del km 26;1;1;1;1;1;1;0;0;0;1
tamponamento nel tardo pomeriggio di ieri a castenaso tra due auto;1;1;1;0;0;0;0;0;0;0
l'incidente è avvenuto lungo la sa vitale tra due auto, e a causa dell'impatto uno dei due automobilisti è rimasto ferito;1;1;0;1;1;0;0;0;0;0
lanciato l'allarme sul posto sono intrervenute due ambulanze, e i volontari dell'anc e ac oltre le autorità competenti;0;1;0;0;0;0;0;0;0;0
806 incidenti a bologna nei primi sei mesi del 2021 con un picco di 189 sinistri nel mese di giugno;1;0;0;0;0;0;0;0;0;0
qui, infatti, è avvenuto l'incidente tra due vetture: ferito, e traportato all'ospedale maggiore, il conducente dell'auto tamponata;0;1;0;0;0;1;0;1;0;0
il conducente è rimasto incastrato all'interno del mezzo e per liberarlo è stato necessario l'intervento dei vigili del fuoco, mentre i sanitari l'hanno poi trasportata in ospedale;0;1;0;0;0;1;0;0;0;1
l'incidente è avvenuto poco dopo le 9 di oggi, 16 luglio, nel territorio comunale di calderara di reno, in via persicetana;1;1;1;0;0;0;0;0;0;0
È il campione di motociclismo andrea dovizioso il testimonial di ‘guida sicura e consapevole’, la nuova campagna di informazione per sensibilizzare le persone al rispetto delle norme del codice della strada, realizzata dall’osservatorio regionale per l’educazione alla sicurezza stradale;0;0;0;0;0;0;0;1;0;0
aveva finito il turno all'ospedale maggiore la pattuglia della polizia penitenziaria e mentre faceva rientro al carcere della dozza si è imbattutta in un incidente stradale tra l'uscita 5 e 6 della tangenziale;1;1;0;0;0;0;0;1;0;1
tre le auto coinvolte e un principio di incendio;0;0;0;0;1;0;0;0;0;0
gravissimo incidente nella mattinata di oggi sulla in a1 all’altezza di cadeo, in direzione bologna;1;1;1;0;1;1;0;1;0;0
dopo l’impatto uno dei tir ha preso fuoco;0;0;0;0;1;0;0;0;0;0
due le vittime;0;0;0;0;1;0;0;0;0;0
un ragazzino di 14 anni in bicicletta è stato investito oggi pomeriggio lungo la san vitale;1;1;1;0;0;0;0;0;1;1
due incidenti stradali stanno provocando disagi intorno a bologna;1;0;0;0;0;0;0;0;0;0
immediatamente è stato lanciato l'allarme e sul posto sono giunti tre mezzi della polizia locale, il 118 e l'elisoccorso, oltre a un equipaggio dell'anc e ac;0;1;0;0;0;0;0;0;0;0
brutto schianto nella serata di ieri a molinella, nel quale sono rimaste ferite due persone;1;1;1;0;1;0;0;0;0;1
e' ricoverato in rianimazione in prognosi riservata, ma non in pericolo di vita, il 74enne che ieri nel pomeriggio è stato travolto da una utilitaria all'altezza di piazza di porta maggiore;1;1;1;0;1;1;0;0;1;1
l'uomo era in sella alla sua bicicletta quando è avvenuto l'incidente;0;0;0;0;0;0;0;0;1;0
il 74enne, che stava attraversando i viali, è stato sbalzato sul parabrezza del mezzo, per poi cadere a terra;0;1;0;0;0;1;0;0;0;1
il mezzo a motore, condotto da un quarantenne, secondo i rilievi della polizia locale stava procedendo nella stessa direzione;0;0;0;0;0;0;0;1;0;0
sicuramente la pandemia ha influito, limitando gli spostamenti, ma, in tutti i casi, nei primi 9 mesi del 2020, incidenti, feriti e morti sulle strade sono calati, come rivela il report della città metropolitana;0;1;0;0;0;0;0;1;0;0
incidente mortale oggi lungo l'autostrada  a14, all'altezza del chilometro 28 - direzione bologna, nei pressi del territorio di ozzano;1;1;0;0;1;0;0;0;0;0
nell'incidente, avvenuto intorno le 12:30 nel tratto tra san pietro in casale e san lazzaro di savena, sono rimasti coinvolti due furgoni e lanciato l'allarme sul posto sono intervenuti i sanitari del 118, i vigili del fuoco, la polizia stradale e l'aspi;1;1;1;0;0;0;0;0;0;1
incidente mortale a san pietro in casale;1;0;0;0;1;0;0;0;0;0
nel tardo pomeriggio di oggi 27 febbraio un anziano di 80 anni, giampaolo parmeggiani, residente del posto, è stato travolto da un'auto in corrispondenza dell'incrocio tra via pescerelli con via iv novembre;1;1;1;0;1;0;0;0;1;0
alle ore 10:00 circa sull’autostrada a14 bologna - taranto è stato riaperto il tratto compreso tra pesaro-urbino e cattolica in direzione bologna temporaneamente chiuso a causa di un tamponamento tra due mezzi pesanti ed un furgone all’altezza del km 148;1;1;1;0;0;0;0;1;0;0
alle 1830 è ancora chiuso per incidente il tratto verso bologna della a1 milano-napoli tra calenzano e il bivio con la a1 direttissima verso bologna, a seguito del tamponamento tra cinque camion ( enon 4 come appreso precedentemente) e una vettura avvenuto al km 272;1;1;1;0;0;0;0;1;0;0
all'interno del tratto il traffico è bloccato e si segnalano 6 km di coda;0;1;0;0;0;0;0;0;0;0
Incidente a San Lazzaro: malore alla guida, perde il controllo dell'auto e finisce in un fosso;1;1;0;1;0;1;0;1;0;0
Incidente oggi pomeriggio in via Palazzetti a San Lazzaro di Savena, dove un automobilista è fuoriuscito dalla carreggiata, finendo in un fossato e sbattendo contro un manufatto per lo scolo delle acque;1;1;1;1;0;1;0;0;0;1
Incidente in A13: camion esce di strada e si ribalta, due feriti;1;1;0;0;1;0;0;0;0;0
E' fuoriuscito dalla careggiata dell'autostrada ribaltandosi poi in un canale il tir che questa mattina all'alba trasportava materiale dedicato all'ortofrutta, lungo l'A13 Bologna - Padova;1;1;1;0;0;0;0;1;0;0
Incidente a Lizzano: scontro bici-auto, 19enne grave al Maggiore;1;1;0;1;0;1;0;1;1;0
Una giornata impegnativa quella di oggi, 16 maggio, per il Soccorso Alpino e Speleologico della Stazione Corno alle Scale, a causa di un grave incidente che ha coinvolto un giovane;0;1;1;1;1;1;0;1;0;1
I Carabinieri del Nucleo Operativo Radiomobile della Compagnia di San Giovanni in Persiceto indagano per risalire agli autori di un furto aggravato e maltrattamento di animali;0;1;0;0;0;0;0;0;0;0
“Questo drammatico episodio non può essere derubricato a mero episodio di cronaca, o a semplice incidente stradale: la presenza ormai indiscriminata dei cinghiali alle porte della città chiama direttamente in causa le responsabilità politiche-amministrative di chi deve governare la fauna selvatica, e che, evidentemente, dimostra di non esserne capace. Ebbene, Regione Emilia-Romagna è in testa nella lista delle responsabilità”;0;0;0;0;0;1;0;0;0;0
Così Michele Facci, ex PDL, ora concigliere regionale della Lega, commentando l'incidente stradale che è costato la vita ad Aniello Carotenuto, il quale ha perso il controllo dell'auto, dopo aver investito un cinghiale, in località Colunga, a San Lazzaro di Savena;1;1;0;1;1;1;0;1;0;1
Mortale l'incidente avvenuto ieri sera nel territorio di San Lazzaro di Savena, lungo la complanare nella frazione di Colunga;1;1;0;0;1;0;0;1;0;0
"Un uomo di 44 anni, Aniello Carotenuto, residente a Bologna, a bordo di un'auto della vigilanza privata ""La Patria"" viaggiava in direzione Ozzano e si è schiantato contro un grosso cinghiale spuntato improvvisamente sulla strada";0;1;0;0;0;1;0;0;0;0
Ha colpito un furgone parcheggiato a bordo strada in via San Donato a Granarolo, e nonostante il forte impatto si è data alla fuga non preoccupandosi né dei possibili danni arrecati né se qualcuno si fosse ferito;1;1;0;0;0;1;0;1;0;0
E' successo ieri , intorno alle 13, e a finire nei guai una donna di 52 anni alla guida di una Hyundai;0;0;1;0;0;0;0;0;0;0
Incidente tra Bologna e Zola: scontro scooter-Suv, morto il centauro;0;1;0;0;1;0;1;1;0;0
Un uomo di 60 anni, residente a Zola Predosa, è deceduto oggi, 24 febbraio, a seguito di un incidente nel territorio di Bologna, al confine con Zola Predosa, in via Morazzo;1;1;1;0;1;0;0;0;0;1
Si tratta del motociclista, in sella a uno scooter, coinvolto in uno scontro con un Suv, poco prima della 12.30;0;1;1;1;0;0;1;1;0;0
"Incidente sulla A13: camion esce di strada e ""disperde"" centinaia di stecche di sigarette di contrabbando";1;1;0;0;0;1;0;0;0;0
La Polstrada di Altedo – Malalbergo ha effettuato un maxi-sequestro di sigarette dispersi da un mezzo pesante incidentato;0;1;0;0;0;0;0;0;0;0
Incidente a San Matteo della Decima: perde il controllo, l'auto finisce nel fosso;1;1;0;1;0;1;0;0;0;0
E' accaduto eri sera poco dopo le 18, quando la sala operativa del 115 è stata allertata dal 118 per un incidente stradale, avvenuto a nel frazione di San Matteo della Decima in Località Arginone, nel territorio di San Giovanni in Persiceto;1;1;1;0;0;0;0;0;0;0
Incidente a Castenaso: scoppia una gomma, schianto frontale e due feriti;1;1;0;0;1;0;0;1;0;1
Sono due le persone rimaste ferite nell'incidente frontale avvenuto questa mattina alle 11:40  lungo la provinciale 86, nel territorio di Castenaso;1;1;1;1;1;0;0;0;0;1
Da quanto si apprende tutto sarebbe accaduto per lo scoppio di una gomma di un Ford Fiesta guidata da un uomo di 75 anni, che guidava verso Minerbio;0;1;0;0;0;1;0;0;0;0
A causa del cedimento del manto stradale, una betoniera usata per la manutenzione del canale emiliano-romagnolo, è rimasta bloccata;0;1;0;0;0;0;0;0;0;0
La chiamata lla sala operativa del 115 è arrivata alle 11.30 di oggi, 11 febbraio;0;0;1;0;0;0;0;0;0;0
E' stato riaperto il tratto chiuso per incidente tratto della A1 verso Milano, tra Fidenza e il bivio con la A15 Parma-La Spezia Nel sinistro, avvenuto al km 99,200 alle ore 7:20, sono rimasti coinvolti due mezzi pesanti;1;1;1;0;0;1;0;1;0;0
 Dopo un tamponamento, un autoarticolato ha effettuato un salto di carreggiata, dalla carreggiata sud alla carreggiata nord, con parziale dispersione di carico consistente in sbarre di ferro;0;1;0;0;0;0;0;0;0;0
Anche una compagnia assicuratriva con sede a Bologna è citata, suo malgrado, nell'inchiesta per i falsi sinistri stradali che vede coinvolte 12 persone, quattro carabinieri, in servizio all'epoca alla compagnia di Mercato San Severino (SA), due medici, un avvocato e cinque cittadini;0;1;0;0;0;0;0;0;0;0
Un incidente stradale non grave, da quanto si apprende, sta causando forti disagi agli automobilisti in Porta San Vitale;0;1;0;0;0;0;0;0;0;0
San Lazzaro: incidente in via Repubblica, ciclista in ospedale;1;1;0;0;0;0;0;0;1;0
E' stato trasportato in condizioni di media gravità al pronto soccorso del Maggiore il ciclista caduto sull'asfalto oggi pomeriggio, alle 15,  all'intersezione tra via Repubblica e via Venezia a San Lazzaro di Savena;1;1;1;0;1;1;0;1;1;0
Un autobus di linea Tper è finito nel fossato al lato strada;0;1;0;0;0;0;0;0;0;0
Sul posto oltre al 115, anche la Polizia locale e gli ispettori di Tper;0;1;0;0;0;0;0;0;0;0
E' stato riaperto poco dopo le 11:30 il tratto tra Reggio Emilia e Campegine-Terre di Canossa in direzione Milano temporaneamente chiuso a causa di un incidente avvenuto al chilometro 132,3 che ha coinvolto un mezzo pesante e un autocarro di ASPI e nel quale un addetto alla manutenzione autostradale è rimasto ferito;1;1;0;1;0;1;0;1;0;1
Un 51enne della provincia di Bologna che procedeva a bordo di un Bmw da via Chiese Catene verso Fusignano, giunto all'incrocio con via Lunga Inferiore, pnon si è accorto che dalla propria destra stava arrivando un pulmino di una cooperativa che effettua servizi di trasporto a scuola dei bambini delle elementari, proveniente da Sant'Agata sul Santerno;1;1;0;0;0;0;0;0;0;1
I due mezzi si sono scontrati e il scuolabus si è ribaltato;0;1;0;0;0;0;0;0;0;0
Traffico: incidente in A1 tra auto, code e rallentamenti;1;0;0;0;0;0;0;0;0;0
Dall'alba lunghe code e rallentamenti in A1 per traffico intenso, e poco più di 8 chilometri di coda sono stati registrati questa mattina tra Sasso Marconi e il bivio Variante di Valico, per un incidente tra due auto;1;1;1;0;0;1;0;1;0;1
Incidente a Castiglione dei Pepoli: si schianta contro un muro, grave al Maggiore;1;1;0;0;1;1;0;1;0;0
Ha perso il controllo del veicolo, è uscito fuori strada e si è schiantato contro un muro;0;1;0;1;0;1;0;1;0;0
E' accaduto oggi alle 14, in via Badia Nuova nel comune di Castiglione dei Pepoli;1;1;1;0;0;0;0;0;0;0
Vittima dell'incidente, un uomo di 59 anni residente nel paese dell'Appennino;0;1;0;0;1;0;0;0;0;0
Si registra una coda di 8 km tra Bologna Interporto e Bivio A13/A14 Bologna-Taranto per incidente;1;1;0;0;0;0;0;1;0;0
Lanciato l’allarme sul posto è intervenuta la Polizia Locale che ha eseguito tutti i rilievi, e i colleghi di Ozzano che hanno coadiuvato la viabilità : lo schianto infatti, è avvenuto poco dopo le 18, orario di punta lungo la via Emilia;0;1;1;1;0;0;0;1;0;0
Incidente in via Pederzana a Villanova di Castenaso, dove un camion che traportava una gru, durante il transito ha 'agganciato' due pali dell'alta tensione sradicandoli dal terreno, distruggendo anche parte dell'impianto del passaggio a livello del treno;1;1;0;1;0;1;0;0;0;1
E' stato necessario l'intervento dei Vigili del Fuoco del distaccamento di Pianoro per estrarre da una vettura coinvolta in un incidente quattro persone;1;1;0;0;0;1;0;0;0;1
Versa in gravi condizioni il 51enne bolognese che è stato investito questa mattina poco prima delle 8 in via Saffi, un centinaio di metri dopo la porta;1;1;1;0;1;1;0;0;1;1
A travolgerlo, un 72enne al volante di una Fiat Panda, in transito sulla corsia preferenziale, con direzione centro;0;1;0;0;0;1;0;1;0;0
Incidente a Ozzano: ferita una bambina, traffico bloccato;1;1;0;0;0;0;0;0;0;1
Lo schianto è avvenuto tra due auto, a ridosso dell’incrocio, e la ricostruzione della dinamica è ancora al vaglio della Polizia Locale, intervenuta non appena è stato lanciato l’allarme;0;1;0;1;0;0;0;0;0;0
Incidente a Persiceto: auto esce di strada e si ribalta, ferite madre e figlia;1;1;0;0;1;1;0;0;0;1
Brutto incidente oggi pomeriggio in via Sasso, a San Giovanni in Persiceto;1;1;1;0;1;0;0;0;0;0
Per motivi ancora al vaglio delle autorità, una vettura è uscita fuori strada, ribaltandosi su un lato;0;0;0;0;0;0;0;1;0;0
E' rimasto incastrato tra le lamiere della propria vettura, l'82enne che questa mattina, poco dopo le 10.30, a bordo della sua Fiat Punto è uscito di strada lungo la via Emilia a San Lazzaro;1;1;1;0;0;0;0;0;0;1
Una donna di circa 80 anni, Maria Pasti, è la vittima di un incidente mortale avvenuto oggi pomeriggio;0;0;1;1;1;1;0;0;0;1
E' stata investita ed è deceduta intorno alle 16,30: la tragedia è avvenuta all'incrocio tra via Canaletto e via Garibaldi a Minerbio;1;1;0;1;1;1;0;1;1;0
L'anziana, era in sella alla sua bicicletta quando è stata travolta da un camion;0;1;0;0;0;0;0;0;1;0
Auto incendiata sulla Porrettana, un morto: strada riaperta al traffico;1;1;0;0;1;0;0;0;0;0
Incidente in A13: schianto sotto al camion, automobilista miracolosamente illeso;1;1;0;0;0;0;0;0;0;1
Guidava in autostrada lungo la prima corsia, direzione Bologna, e non si sarebbe reso conto del camion che lo precedeva, schiantandosi improvvisamente contro il mezzo pesante e incastrandosi sotto chili di lamiere;0;1;0;0;1;1;0;1;0;1
Incidente a Granarolo: colpisce centauro e fugge, caccia al taxi pirata;1;1;0;0;0;0;1;0;0;0
Avrebbe attraversato l'incrocio nonostante il semaforo rosso, centrando in pieno un centauro che a causa dell'impatto è caduto rovinosamente sull'asfalto;0;1;0;0;1;1;1;1;0;0
Incidente a San Lazzaro: centauro ferito, caccia all'auto pirata;1;1;0;0;1;0;1;0;0;0
Investito lungo la Fondovalle da un tir: muore 88enne di Pian di Macina;1;0;0;0;1;0;0;0;1;1
Pierino Vitali, 88 anni, pensionato residente a Pian di Macina, è l'uomo che ha perso la vita ieri pomeriggio dopo essere stato travolto da un tir;0;1;0;0;1;1;0;0;1;1
Sarebbe stato investito da un tir in transito l’uomo morto nel tardo pomeriggio di oggi, lungo la Fondovalle, nel territorio di Pian di Macina, a Pianoro.;1;1;0;1;1;1;0;0;1;0
Incidente a Castenaso, schianto auto - moto: un ferito;1;1;0;0;1;0;1;1;0;0
Un incidente tra una moto e un'auto è avvenuto lungo via Cà dell'Orbo nella piccola frazione di Marano di Castenaso, questa mattina poco prima delle otto, e la strada è stata chiusa per permettere alle autorità di eseguire tutti i rilievi;1;1;1;0;0;0;0;1;0;0
Incidente tra mezzi pesanti a Castenaso: morto un camionista;1;1;0;0;1;0;0;0;0;0
E' deceduto all'ospedale Maggiore il camionista di 47 anni, vittima dell'incidente avvenuto oggi pomeriggio a Castenaso, in località Fossamarza, all'incrocio con via Birbanteria;1;1;1;0;1;1;0;0;0;0
Incidente sulla A1: scontro camion-moto, un morto;1;0;0;0;1;0;1;1;0;0
Poco dopo le ore 18.00 sul Raccordo di Casalecchio è stato riaperto il tratto compreso tra il bivio con l'A14 e Casalecchio, in direzione dell'A1, precedentemente chiuso a causa di un incidente;1;1;1;0;0;0;0;1;0;0
La dinamica di quanto accaduto è ancora tutta da ricostruire, ma lo schianto tra un camion che trasportava vetro e un camion della nettezza urbana è stato violento;0;1;0;0;0;0;0;0;0;0
Inizialmente sembrava un incidente mortale, ma dietro l'investimento avvenuto questa mattina alle 10.30, in via Mora, nella frazione di Tintoria di Minerbio, c'era una lite tra due autotrasportatori per futili motivi scoppiata nel parcheggio dello zuccherificio;1;1;1;0;1;0;0;0;0;0
Incidente nella notte sulla A1: furgone si ribalta, un morto e due feriti;1;1;1;0;1;0;0;0;0;0
Incidente frontale lungo la Fondovalle: un morto;1;1;0;0;1;0;0;0;0;0
Da quanto si apprende due auto sarebbero rimaste coinvolte in un violento schianto, forse frontale;0;1;0;0;1;0;0;0;0;0
Sulla A14 tra Bologna Fiera e Castel San Pietro code verso Ancona, tra Bologna Fiera e Castel San Pietro verso Ancona, si segnalano 8 km di coda, a causa di un incidente;1;1;0;1;0;1;0;1;0;0
Incidente ieri sera in Bolognina: una Audi A3 e una Fiat Multipla si sono scontrati all'incrocio tra via Bigari e via Algardi;1;1;1;0;0;0;0;0;0;0
Nell'impatto la monovolume è volata su un fianco, per poi capottarsi completamente;0;1;0;0;0;0;0;1;0;0
 Poche notizie al momento sulle persone conivolte, ma il conducente del mezzo ribaltato è stato trasportato in ospedale in condizioni di media gravità;0;0;0;0;1;0;0;0;0;0
